"id","sku","name","description","short_description","breadcrumb","images","attribute_0_value","attribute_0_name","regular_price"
"rjyd","#BK-056","Hoa giỏ BK-056",,"
","Hoa giỏ","https://hoatuoi360.com/contents/images/Products/Hoa%20Gio/Hoa-Gio-BK-056.jpg","Bình thường","Kích thước",700000
"rjyd","#BK-056","Hoa giỏ BK-056",,"
","Hoa giỏ","https://hoatuoi360.com/contents/images/Products/Hoa%20Gio/Hoa-Gio-BK-056.jpg","Lớn hơn (+30%)","Kích thước",910000
"fj0g","#BK220","Hoa Giỏ BK 220",,"
","Hoa theo chủ đề>Ngày Phụ Nữ Việt Nam 20/10","https://hoatuoi360.com/contents/images/Products/hoa-gio/Hoa-gio-BK-.jpg","Bình thường","Kích thước",2000000
"fj0g","#BK220","Hoa Giỏ BK 220",,"
","Hoa theo chủ đề>Ngày Phụ Nữ Việt Nam 20/10","https://hoatuoi360.com/contents/images/Products/hoa-gio/Hoa-gio-BK-.jpg","Lớn hơn (+30%)","Kích thước",2600000
"swkfe","#BK-064","Hoa giỏ BK-064",,"
","Hoa giỏ","https://hoatuoi360.com/contents/images/Products/Hoa%20Gio/Hoa-Gio-BK-064.jpg","Bình thường","Kích thước",1900000
"swkfe","#BK-064","Hoa giỏ BK-064",,"
","Hoa giỏ","https://hoatuoi360.com/contents/images/Products/Hoa%20Gio/Hoa-Gio-BK-064.jpg","Lớn hơn (+30%)","Kích thước",2470000
"h6747ev","#BK-069","Hoa Giỏ BK-069",,"
","Hoa giỏ","https://hoatuoi360.com/contents/images/Products/Hoa%20Gio/Hoa-Gio-BK-069.jpg","Bình thường","Kích thước",700000
"h6747ev","#BK-069","Hoa Giỏ BK-069",,"
","Hoa giỏ","https://hoatuoi360.com/contents/images/Products/Hoa%20Gio/Hoa-Gio-BK-069.jpg","Lớn hơn (+30%)","Kích thước",910000
"0yooe","#BK-072","Hoa giỏ BK-072",,"
","Hoa giỏ","https://hoatuoi360.com/contents/images/Products/Hoa%20Gio/Hoa-Gio-BK-072.jpg","Bình thường","Kích thước",1900000
"0yooe","#BK-072","Hoa giỏ BK-072",,"
","Hoa giỏ","https://hoatuoi360.com/contents/images/Products/Hoa%20Gio/Hoa-Gio-BK-072.jpg","Lớn hơn (+30%)","Kích thước",2470000
"uri9c","#BK076","Hoa giỏ BK 076",,"
","Hoa giỏ","https://hoatuoi360.com/contents/images/Products/Hoa%20Gio/Hoa-Gio-BK-076.jpg","Bình thường","Kích thước",1000000
"uri9c","#BK076","Hoa giỏ BK 076",,"
","Hoa giỏ","https://hoatuoi360.com/contents/images/Products/Hoa%20Gio/Hoa-Gio-BK-076.jpg","Lớn hơn (+30%)","Kích thước",1300000
"0mujk","#BK-071","Hoa giỏ BK-071",,"
","Hoa giỏ","https://hoatuoi360.com/contents/images/Products/Hoa%20Gio/Hoa-Gio-BK-071.jpg","Bình thường","Kích thước",1500000
"0mujk","#BK-071","Hoa giỏ BK-071",,"
","Hoa giỏ","https://hoatuoi360.com/contents/images/Products/Hoa%20Gio/Hoa-Gio-BK-071.jpg","Lớn hơn (+30%)","Kích thước",1950000
"nb77m","#BK-074","Hoa giỏ BK-074",,"
","Hoa giỏ","https://hoatuoi360.com/contents/images/Products/Hoa%20Gio/Hoa-Gio-BK-074.jpg","Bình thường","Kích thước",1500000
"nb77m","#BK-074","Hoa giỏ BK-074",,"
","Hoa giỏ","https://hoatuoi360.com/contents/images/Products/Hoa%20Gio/Hoa-Gio-BK-074.jpg","Lớn hơn (+30%)","Kích thước",1950000
"4dkfq","#BK-073","Hoa Gio3 BK-073",,"
","Hoa giỏ","https://hoatuoi360.com/contents/images/Products/Hoa%20Gio/Hoa-Gio-BK-073.jpg","Bình thường","Kích thước",1000000
"4dkfq","#BK-073","Hoa Gio3 BK-073",,"
","Hoa giỏ","https://hoatuoi360.com/contents/images/Products/Hoa%20Gio/Hoa-Gio-BK-073.jpg","Lớn hơn (+30%)","Kích thước",1300000
"9r1sn","#BK-070","Hoa-Gio-BK-070",,"
","Hoa giỏ","https://hoatuoi360.com/contents/images/Products/Hoa%20Gio/Hoa-Gio-BK-070.jpg","Bình thường","Kích thước",1000000
"9r1sn","#BK-070","Hoa-Gio-BK-070",,"
","Hoa giỏ","https://hoatuoi360.com/contents/images/Products/Hoa%20Gio/Hoa-Gio-BK-070.jpg","Lớn hơn (+30%)","Kích thước",1300000
"eixkj","#BK-078","Hoa giỏ BK-078",,"
","Hoa giỏ","https://hoatuoi360.com/contents/images/Products/Hoa%20Gio/Hoa-Gio-BK-078.jpg","Bình thường","Kích thước",1000000
"eixkj","#BK-078","Hoa giỏ BK-078",,"
","Hoa giỏ","https://hoatuoi360.com/contents/images/Products/Hoa%20Gio/Hoa-Gio-BK-078.jpg","Lớn hơn (+30%)","Kích thước",1300000
"nk32m","#BK-066","Hoa giỏ BK-066",,"
","Hoa giỏ","https://hoatuoi360.com/contents/images/Products/Hoa%20Gio/Hoa-Gio-BK-065.jpg","Bình thường","Kích thước",900000
